"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","fullWellCode","wellNumber","instance","Media","Concentration","Nutrient","Strain","Mutant","DemoPlotColumn"
"87","C7b",0.200551345809101,0.0262516695658839,0.000138497337162446,13668.468609691,5004.76900683615,14264.9541000087,14256.0006010195,0.00788678353750192,"","C7b_b_Thr_1_Mm_2492_Deletion_yes","C7b","b","Thr","1","Mm","2492","Deletion","yes"
"88","C8b",1843269.52120311,0.049954615960752,2.06886774230117e-05,842184.903829976,33503.6970410185,11836.3056668247,11915.7380285683,0.0265649278955724,"","C8b_b_Thr_5_Mm_2492_Deletion_no","C8b","b","Thr","5","Mm","2492","Deletion","no"
"89","D1b",0.272549733180313,0.0297245911641563,0.000102318888431129,20527.6557222255,6774.38145769639,17488.3692762272,17422.3201689805,0.0107824937774769,"","D1b_b_As_1_Mm_2493_Control_yes","D1b","b","As","1","Mm","2493","Control","yes"
"90","D2b",0.313708222944627,0.0188186201126922,0.000134494173462077,20460.0257138895,5153.7338958062,20356.8229495186,20336.9422844903,0.00622561935812751,"","D2b_b_As_5_Mm_2493_Control_no","D2b","b","As","5","Mm","2493","Control","no"
"91","D3b",0.597748026971849,0.0112275063126037,0.000137760198622668,28715.4127762881,5031.54893423542,34047.4469143715,34141.4590965293,0.0147904899220613,"","D3b_b_Glu_1_Mm_2493_Control_yes","D3b","b","Glu","1","Mm","2493","Control","yes"
"92","D4b",1229367.30106076,0.0460224858966934,1.78689006799171e-05,957005.45056442,38790.7008369561,9358.47915224749,9395.59908449025,0.0164294908526736,"","D4b_b_Glu_5_Mm_2493_Control_no","D4b","b","Glu","5","Mm","2493","Control","no"
"93","D5b",0.520095171537596,0.0108682447243338,0.000137010036990176,28078.5891400947,5059.09782806385,29946.9524760532,30183.823975,0.0271666350203931,"","D5b_b_Ser_1_Mm_2493_Control_yes","D5b","b","Ser","1","Mm","2493","Control","yes"
"94","D6b",0.526008814320015,0.00754009034170911,0.000143295213710503,29523.9836174438,4837.19701873853,29554.9886606986,29982.2008139805,0.0374655813180697,"","D6b_b_Ser_5_Mm_2493_Control_no","D6b","b","Ser","5","Mm","2493","Control","no"
"95","D7b",0.449670821806634,0.0363849024904522,5.03911524280551e-05,48222.467895159,13755.3349578494,17399.7234135515,17462.1982230585,0.0233743506131167,"","D7b_b_Thr_1_Mm_2493_Control_yes","D7b","b","Thr","1","Mm","2493","Control","yes"
"96","D8b",0.44482242526177,0.0235508421780185,6.32806055233186e-05,45576.6203754281,10953.5484818413,18044.7818541713,18232.0248085683,0.0263185289822161,"","D8b_b_Thr_5_Mm_2493_Control_no","D8b","b","Thr","5","Mm","2493","Control","no"
"97","E1b",0.363145216283292,0.0207065303953199,0.000128508230175708,21832.4031852413,5393.79602078568,23067.9387703226,23068.2138639805,0.00756779001414713,"","E1b_b_As_1_Csm_2490_Deletion_yes","E1b","b","As","1","Csm","2490","Deletion","yes"
"98","E2b",0.577446279016219,0.0285707378056292,0.000104383496910153,28313.7542044982,6640.39049349503,32933.8381459189,32931.1742424513,0.0163366621270974,"","E2b_b_As_5_Csm_2490_Deletion_no","E2b","b","As","5","Csm","2490","Deletion","no"
"99","E3b",0.283318080972021,0.0375681874257144,3.45222608657926e-05,54404.221090393,20078.2672738207,10121.0025954523,10118.0512894903,0.00914302125073989,"","E3b_b_Glu_1_Csm_2490_Deletion_yes","E3b","b","Glu","1","Csm","2490","Deletion","yes"
"100","E4b",0.0743917108510881,0.0106542127471134,0.000312186851919686,5729.95841619831,2220.29587824623,5920.44323605518,5907.28257356825,0.00738678994860881,"","E4b_b_Glu_5_Csm_2490_Deletion_no","E4b","b","Glu","5","Csm","2490","Deletion","no"
"101","E5b",0.314109861361444,0.0522959844730822,6.6877640305399e-05,24084.4961185068,10364.4084539267,18608.2826580109,18510.5164585683,0.0206476492381801,"","E5b_b_Ser_1_Csm_2490_Deletion_yes","E5b","b","Ser","1","Csm","2490","Deletion","yes"
"102","E6b",0.185181911632903,0.0191013147439052,0.000135283145283975,15986.5888834347,5123.67729996927,12781.0837249778,12747.0399230585,0.0109098007965481,"","E6b_b_Ser_5_Csm_2490_Deletion_no","E6b","b","Ser","5","Csm","2490","Deletion","no"
"103","E7b",0.376169606089308,0.0361730914682311,8.77807520878509e-05,25525.1840560942,7896.34588532853,22265.4849079186,22232.8230924512,0.023955753604387,"","E7b_b_Thr_1_Csm_2490_Deletion_yes","E7b","b","Thr","1","Csm","2490","Deletion","yes"
"104","E8b",0.433586277640732,0.0445122062706655,6.73855045135923e-05,32173.1848147118,10286.295035754,22730.1353939908,22727.251167961,0.0194962398554129,"","E8b_b_Thr_5_Csm_2490_Deletion_no","E8b","b","Thr","5","Csm","2490","Deletion","no"
"105","F1b",0.382442897627676,0.0309503476359744,0.000105883620168731,22947.8769332193,6546.31169065982,23740.9259967087,23670.4392724513,0.0102390965915944,"","F1b_b_As_1_Csm_2491_Control_yes","F1b","b","As","1","Csm","2491","Control","yes"
"106","F2b",0.511263694457326,0.0328484446944276,9.32299716974446e-05,28730.8322830503,7434.8105865503,28844.9645814701,28752.2963414318,0.0168931480997847,"","F2b_b_As_5_Csm_2491_Control_no","F2b","b","As","5","Csm","2491","Control","no"
